"movie_name","boxtot","year","month","ThreeD","Summer"
"The Expendables 2",81.561952,2012,8,0,"Summer"
"The Expendables 3",34.177584,2014,8,0,"Summer"
"The Express",6.02276,2008,10,0,"Not Summer"
"The Eye",24.074266,2008,2,0,"Not Summer"
"The Family (2013)",35.224349,2013,9,0,"Not Summer"
"The Family Stone",54.544993,2006,1,0,"Not Summer"
"The Fast and the Furious: Tokyo Drift",58.68676,2006,6,0,"Summer"
"The Fault in our Stars",118.123484,2014,6,0,"Summer"
"The Fifth Estate",2.277466,2013,10,0,"Not Summer"
"The Fighter",90.659471,2010,1,0,"Not Summer"
"The Final Destination",62.611557,2009,8,1,"Summer"
"The Finest Hours",24.463269,2016,1,1,"Not Summer"
"The Five-Year Engagement",27.396785,2012,4,0,"Summer"
"The Forbidden Kingdom",50.802603,2008,4,0,"Summer"
"The Forest",23.307417,2016,1,0,"Not Summer"
"The Fountain",8.88863,2006,11,0,"Not Summer"
"The Fourth Kind",23.53293,2009,11,0,"Not Summer"
"The Gallows",20.174736,2015,7,0,"Summer"
"The Gambler",33.039599,2014,1,0,"Not Summer"
"The Game Plan",85.920635,2007,9,0,"Not Summer"
"The Gift (2015)",40.989737,2015,8,0,"Summer"
"The Girl on the Train (2016)",71.70313,2016,10,0,"Not Summer"
"The Girl with the Dragon Tattoo (2011)",95.995113,2011,1,0,"Not Summer"
"The Giver",42.070947,2014,8,0,"Summer"
"The Golden Compass",49.443,2007,12,0,"Not Summer"
"The Good Dinosaur",110.71647,2015,11,1,"Not Summer"
"The Good Shepherd",55.552255,2006,1,0,"Not Summer"
"The Goods: Live Hard, Sell Hard",12.629819,2009,8,0,"Summer"
"The Grand Budapest Hotel",54.436806,2014,3,0,"Not Summer"
"The Great Debaters",14.692291,2007,12,0,"Not Summer"
"The Great Gatsby (2013)",137.373978,2013,5,0,"Summer"
"The Green Hornet",92.405961,2011,1,1,"Not Summer"
"The Green Inferno",4.642423,2015,9,0,"Not Summer"
"The Grey",48.899296,2012,1,0,"Not Summer"
"The Grudge 2",36.445636,2006,10,0,"Not Summer"
"The Guardian",49.372298,2006,9,0,"Not Summer"
"The Guilt Trip",32.562897,2012,1,0,"Not Summer"
"The Gunman",9.704475,2015,3,0,"Not Summer"
"The Hangover",261.038904,2009,6,0,"Summer"
"The Hangover Part II",244.948646,2011,5,0,"Summer"
"The Hangover Part III",109.057272,2013,5,0,"Summer"
"The Happening",60.062743,2008,6,0,"Summer"
"The Hateful Eight",49.610675,2015,1,0,"Not Summer"
"The Haunting in Connecticut",52.3201,2009,3,0,"Not Summer"
"The Haunting of Molly Hartley",11.550398,2008,10,0,"Not Summer"
"The Heartbreak Kid",33.370417,2007,10,0,"Not Summer"
"The Heat",150.707272,2013,6,0,"Summer"
"The Help",163.718288,2011,8,0,"Summer"
"The Hills Have Eyes",37.115568,2006,3,0,"Not Summer"
